"from_country","to_country","move_year","n_moves","n_unique_movers"
"Singapore","United Kingdom",2021,11,11
"United Arab Emirates","United States",2021,11,11
"Pakistan","Germany",2024,11,11
"Nepal","United States",2024,11,11
"United Kingdom","Italy",2023,11,11
"United Kingdom","Canada",2021,11,11
"Sweden","United States",2020,11,11
"United Arab Emirates","India",2022,11,11
"Finland","United States",2023,11,11
"India","France",2020,11,11
"Belarus","Poland",2021,11,11
"Canada","Iran",2021,11,11
"Bahrain","Netherlands",2016,11,11
"Canada","United States",2014,11,11
"Nigeria","United Kingdom",2022,11,11
"Netherlands","Luxembourg",2020,11,11
"China","Australia",2023,11,11
"Italy","United States",2023,11,11
"Netherlands","United States",2006,11,11
"India","Germany",2018,11,11
"Canada","Germany",2021,11,11
"Russia","Kazakhstan",2023,11,11
"Ukraine","United States",2022,11,11
"Germany","Russia",2021,11,11
"Germany","France",2020,11,11
"Netherlands","France",2022,11,11
"Egypt","India",2023,11,11
"United Kingdom","Belgium",2020,11,11
"Kenya","United States",2023,11,11
"Vietnam","Singapore",2024,11,11
"Ireland","United Kingdom",2022,11,11
"Netherlands","Spain",2021,11,11
"China","Canada",2021,11,11
"Netherlands","South Africa",2013,11,11
"Pakistan","Canada",2022,11,11
"Australia","United States",2018,11,11
"Tunisia","Germany",2024,11,11
"Italy","Spain",2023,11,11
"United Kingdom","Australia",2023,11,11
"Germany","Italy",2023,11,11
"China","United Kingdom",2020,11,11
"Canada","France",2018,11,11
"Germany","Canada",2021,11,11
"France","Canada",2019,11,11
"United States","Switzerland",2017,11,11
"South Africa","Netherlands",2017,11,11
"Italy","Germany",2023,11,11
"Spain","France",2022,11,11
"Singapore","Germany",2022,11,11
"Switzerland","Netherlands",2017,11,11
"Germany","Canada",2022,11,11
"Germany","Italy",2024,11,11
"Netherlands","Spain",2023,11,11
"Iran","United Kingdom",2023,11,11
"India","Switzerland",2023,11,11
"Egypt","Germany",2024,11,10
"Iran","Netherlands",2022,11,11
"Russia","Serbia",2021,11,11
"United Arab Emirates","Egypt",2023,11,11
"India","Singapore",2017,11,11
"Malaysia","Singapore",2022,11,11
"Ireland","India",2021,10,10
"France","Spain",2024,10,10
"Tunisia","Germany",2022,10,9
"Canada","Iran",2022,10,10
"Russia","Germany",2018,10,10
"Spain","Netherlands",2021,10,10
"Canada","India",2019,10,10
"United States","United Arab Emirates",2022,10,10
"China","Australia",2020,10,10
"India","Ireland",2023,10,10
"Germany","United Arab Emirates",2023,10,10
"United States","Israel",2017,10,10
"Belgium","United Kingdom",2020,10,10
"United States","Sweden",2018,10,10
"Russia","Cyprus",2021,10,10
"Costa Rica","United States",2021,10,10
"United Kingdom","Ireland",2022,10,10
"Switzerland","United Kingdom",2024,10,9
"France","Germany",2019,10,10
"Netherlands","Spain",2024,10,10
"Czech Republic","United States",2024,10,10
"Sri Lanka","United States",2022,10,10
"Netherlands","South Africa",2018,10,10
"Peru","United States",2024,10,10
"Colombia","United States",2021,10,10
"Germany","Canada",2024,10,10
"Spain","Netherlands",2019,10,10
"United Kingdom","Germany",2017,10,10
"Belgium","France",2021,10,10
"United Kingdom","Switzerland",2021,10,10
"United States","Italy",2019,10,10
"Netherlands","South Africa",2016,10,10
"United Kingdom","Netherlands",2012,10,10
"Saudi Arabia","Egypt",2024,10,10
"United States","Italy",2022,10,10
"Ireland","United States",2023,10,10
"Turkey","Germany",2020,10,10
"Germany","Turkey",2022,10,10
"Netherlands","France",2017,10,10
"Russia","United Arab Emirates",2020,10,10
"United States","Russia",2021,10,10
"Singapore","Canada",2022,10,10
"Poland","United Kingdom",2022,10,10
"Netherlands","France",2019,10,10
"United States","Poland",2021,10,10
"Netherlands","South Africa",2019,10,9
"Germany","Canada",2020,10,10
"Singapore","Germany",2024,10,10
"Italy","Belgium",2024,10,10
"France","Japan",2023,10,10
"United States","Nigeria",2021,10,10
"United Kingdom","Singapore",2024,10,10
"Canada","China",2019,10,10
"France","Tunisia",2021,10,10
"Algeria","France",2023,10,10
"South Korea","India",2023,10,10
"France","Spain",2022,10,10
"Taiwan","United States",2020,10,10
"Poland","United States",2023,10,10
"United States","Spain",2019,10,10
"Ukraine","United States",2023,10,10
"Netherlands","France",2018,10,10
"United Arab Emirates","Egypt",2024,10,10
"Spain","Germany",2018,10,10
"France","United Arab Emirates",2023,10,10
"Hong Kong","United States",2019,10,10
"United States","United Arab Emirates",2020,10,9
"United Kingdom","Netherlands",2013,10,10
"United States","Brazil",2018,10,10
"France","Morocco",2023,10,10
"Netherlands","Switzerland",2020,10,10
"United States","Pakistan",2019,10,10
"South Africa","United States",2020,10,10
"Turkey","Germany",2019,10,10
"France","United Kingdom",2017,10,10
"Canada","Iran",2023,10,10
"United Arab Emirates","United States",2019,10,10
"South Africa","United States",2024,10,10
"Portugal","United States",2021,10,10
"Ukraine","Poland",2022,10,10
"Nigeria","United States",2021,10,10
"Spain","United States",2018,10,10
"Netherlands","Belgium",2010,10,10
"Greece","United States",2024,10,10
"Italy","Netherlands",2024,10,10
"Spain","France",2019,10,10
"Netherlands","United Kingdom",2015,10,10
"Colombia","United States",2019,10,10
"United States","Argentina",2023,10,10
"Iran","Italy",2024,10,10
"India","Netherlands",2020,9,9
"United Kingdom","Switzerland",2019,9,9
"United States","Italy",2021,9,9
"Turkey","Netherlands",2022,9,9
"Switzerland","Netherlands",2018,9,9
"Russia","Ireland",2022,9,9
"India","Switzerland",2022,9,9
"Singapore","Canada",2021,9,9
"Australia","China",2019,9,9
"Canada","Germany",2022,9,9
"Germany","Spain",2021,9,9
"Poland","United Kingdom",2021,9,9
"United States","Argentina",2019,9,9
"South Africa","Netherlands",2018,9,9
"Lebanon","Netherlands",2017,9,9
"Sri Lanka","United States",2024,9,9
"Ireland","United Kingdom",2021,9,9
"Ireland","United States",2020,9,9
"China","Hong Kong",2020,9,9
"United States","Ukraine",2023,9,9
"Singapore","China",2024,9,9
"Netherlands","Sweden",2020,9,9
"Vietnam","Singapore",2023,9,9
"Spain","Switzerland",2021,9,9
"Russia","Spain",2022,9,9
"Czech Republic","United States",2022,9,9
"India","Singapore",2018,9,9
"China","Canada",2019,9,9
"United Kingdom","United Arab Emirates",2022,9,9
"Malaysia","Singapore",2023,9,9
"Netherlands","Switzerland",2014,9,9
"United States","Colombia",2021,9,9
"United Kingdom","Pakistan",2021,9,9
"Netherlands","United Kingdom",2012,9,9
"Egypt","Germany",2023,9,9
"France","Switzerland",2018,9,9
"Armenia","United States",2023,9,9
"United Kingdom","United States",2014,9,9
"Ireland","United Kingdom",2023,9,8
"Singapore","France",2019,9,9
"Norway","United States",2024,9,9
"Netherlands","Italy",2024,9,9
"Japan","United Kingdom",2022,9,9
"Netherlands","Belgium",2024,9,9
"United States","India",2013,9,9
"Turkey","United Kingdom",2021,9,9
"Saudi Arabia","United States",2022,9,9
"Iran","United Arab Emirates",2024,9,9
"Switzerland","France",2022,9,9
"Germany","Spain",2022,9,9
"Italy","Spain",2022,9,9
"India","Egypt",2022,9,9
"Brazil","Canada",2022,9,9
"China","Hong Kong",2023,9,9
"Netherlands","Switzerland",2016,9,9
"India","Italy",2022,9,9
"United States","Denmark",2024,9,9
"Spain","United Kingdom",2021,9,9
"Hong Kong","United States",2023,9,9
"India","France",2021,9,9
"South Korea","United States",2017,9,9
"Iran","Germany",2020,9,9
"Spain","France",2020,9,9
"United States","India",2014,9,9
"Spain","France",2024,9,9
"Netherlands","Switzerland",2019,9,9
"Spain","Switzerland",2022,9,9
"United Kingdom","United States",2013,9,9
"France","Switzerland",2019,9,9
"Egypt","United Kingdom",2023,9,9
"Switzerland","Netherlands",2020,9,9
"United Kingdom","Italy",2022,9,9
"Russia","United States",2018,9,9
"Russia","Israel",2023,9,9
"China","United Kingdom",2021,9,9
"Pakistan","United Arab Emirates",2022,9,9
"Nigeria","United Kingdom",2023,9,9
"Belgium","Netherlands",2008,9,9
"Georgia","United States",2024,9,9
"Australia","United Kingdom",2023,9,9
"Brazil","Portugal",2022,9,9
"Italy","United States",2017,9,9
"Poland","United States",2018,9,9
"India","Japan",2018,9,9
"Ukraine","Poland",2021,9,9
"Hong Kong","Canada",2022,9,9
"Switzerland","United Kingdom",2020,9,9
"United States","France",2015,9,9
"Tunisia","United States",2023,9,9
"Germany","Turkey",2023,9,9
"Iran","Turkey",2023,9,9
"Netherlands","France",2023,9,9
"United Arab Emirates","United Kingdom",2022,9,9
"Hong Kong","United States",2022,9,9
"Denmark","United States",2023,9,9
"Netherlands","Bahrain",2019,9,9
"United Kingdom","United Arab Emirates",2023,9,9
"Egypt","Canada",2021,9,9
"Italy","United Kingdom",2021,9,9
"Switzerland","Netherlands",2016,9,9
"Germany","Spain",2020,9,9
"Pakistan","Saudi Arabia",2024,9,9
"Turkey","Netherlands",2023,9,9
"India","Nepal",2024,9,9
"Egypt","Saudi Arabia",2021,9,9
"Italy","Switzerland",2023,9,9
"United States","Sri Lanka",2024,9,9
"Russia","Spain",2023,9,9
"Sweden","United Kingdom",2021,9,9
"Brazil","Germany",2023,9,9
"France","Netherlands",2019,9,9
"Canada","United Kingdom",2020,9,9
"Belgium","Netherlands",2009,9,9
"United States","Colombia",2022,9,9
"Ukraine","United States",2020,9,9
"Iran","United States",2019,9,9
"Mexico","United States",2020,9,9
"Austria","Germany",2022,9,9
"Switzerland","United States",2017,9,9
"South Korea","Vietnam",2020,9,9
"United States","Vietnam",2024,9,9
"Netherlands","Germany",2010,9,9
"United Arab Emirates","India",2021,9,8
"United Kingdom","Canada",2019,9,9
"India","Saudi Arabia",2023,9,9
"United States","Saudi Arabia",2024,9,9
"Argentina","United States",2019,9,9
"Jordan","United States",2023,9,9
"Switzerland","Italy",2023,9,9
"Germany","Italy",2020,9,9
"Saudi Arabia","Egypt",2023,8,8
"South Korea","United Kingdom",2021,8,8
"United Kingdom","Russia",2018,8,8
"United Arab Emirates","Egypt",2022,8,8
"Mexico","Netherlands",2018,8,8
"United Arab Emirates","United Kingdom",2024,8,8
"United States","Argentina",2022,8,8
"Greece","Netherlands",2022,8,8
"Italy","Germany",2019,8,8
"Iran","Australia",2022,8,8
"Canada","Germany",2019,8,8
"United Arab Emirates","Pakistan",2024,8,8
"France","Germany",2020,8,8
"Tunisia","Canada",2020,8,8
"United States","Canada",2015,8,8
"South Africa","Netherlands",2014,8,8
"Iran","Netherlands",2023,8,8
"Singapore","United Kingdom",2023,8,8
"France","Singapore",2019,8,8
"Canada","United Arab Emirates",2022,8,8
"France","Tunisia",2019,8,8
"China","United Kingdom",2022,8,8
"France","Tunisia",2022,8,8
"France","Spain",2020,8,8
"Japan","India",2019,8,8
"Iran","Canada",2018,8,8
"India","Spain",2024,8,8
"France","Netherlands",2018,8,8
"Russia","United Arab Emirates",2023,8,8
"Singapore","India",2017,8,8
"Ukraine","Canada",2023,8,8
"Singapore","Vietnam",2024,8,8
"Italy","Netherlands",2023,8,8
"Japan","United Kingdom",2019,8,8
"Italy","Germany",2020,8,8
"United States","China",2015,8,8
"Bahrain","Netherlands",2018,8,8
"Netherlands","South Africa",2014,8,8
"South Africa","United States",2023,8,8
"France","Ireland",2022,8,8
"Canada","United Arab Emirates",2024,8,8
"Sweden","Germany",2022,8,8
"Brazil","France",2021,8,8
"New Zealand","Australia",2024,8,8
"Netherlands","Switzerland",2023,8,8
"Netherlands","India",2024,8,8
"France","Singapore",2024,8,8
"United Kingdom","Poland",2023,8,8
"Indonesia","Japan",2024,8,8
"Italy","Germany",2021,8,8
"Sri Lanka","Canada",2023,8,8
"Germany","Switzerland",2019,8,8
"United Kingdom","Australia",2022,8,8
"Italy","United States",2018,8,8
"Iran","Turkey",2022,8,8
"United States","Singapore",2017,8,8
"India","Switzerland",2021,8,8
"United Arab Emirates","Saudi Arabia",2024,8,8
"India","Ireland",2020,8,8
"China","Taiwan",2020,8,8
"Germany","China",2020,8,8
"Hong Kong","United Kingdom",2023,8,8
"United Kingdom","Australia",2019,8,8
"China","Germany",2019,8,8
"Chile","United States",2024,8,8
"Poland","Ukraine",2021,8,8
"United Kingdom","Germany",2016,8,8
"Canada","China",2022,8,8
"United Kingdom","Sweden",2024,8,8
"United Kingdom","Spain",2019,8,8
"United States","South Korea",2017,8,8
"United States","Pakistan",2020,8,8
"Indonesia","Singapore",2023,8,8
"Japan","France",2020,8,8
"United States","Saudi Arabia",2022,8,8
"Luxembourg","Netherlands",2019,8,8
"France","Italy",2024,8,8
"France","Germany",2018,8,8
"Iran","United States",2020,8,8
"United States","New Zealand",2023,8,8
"United Arab Emirates","Russia",2020,8,8
"Luxembourg","Netherlands",2017,8,8
"China","Hong Kong",2022,8,8
"United States","Iran",2022,8,8
"France","Canada",2017,8,8
"Switzerland","Germany",2020,8,8
"Netherlands","Lebanon",2016,8,8
"France","Sweden",2022,8,8
"Italy","India",2024,8,8
"Morocco","United States",2024,8,8
"India","Switzerland",2024,8,8
"Russia","Netherlands",2021,8,8
"United States","Sri Lanka",2023,8,8
"United States","Italy",2018,8,8
"France","Morocco",2024,8,8
"United Kingdom","Nigeria",2023,8,8
"United Kingdom","Japan",2019,8,8
"Netherlands","South Africa",2011,8,8
"Russia","Armenia",2024,8,8
"United States","Taiwan",2019,8,8
"United Kingdom","Italy",2020,8,8
"Iran","United States",2022,8,8
"Netherlands","United Kingdom",2014,8,8
"Switzerland","Netherlands",2019,8,8
"Singapore","India",2018,8,8
"Vietnam","United States",2021,8,8
"United States","Colombia",2019,8,8
"Canada","Netherlands",2023,8,8
"France","United Arab Emirates",2024,8,8
"United Kingdom","China",2020,8,8
"France","Spain",2021,8,8
"Czech Republic","United States",2023,8,8
"Switzerland","Netherlands",2022,8,8
"United States","United Arab Emirates",2018,8,8
"Netherlands","India",2018,8,8
"Brazil","United States",2017,8,8
"United States","Armenia",2024,8,8
